"YEAR","JURISDICTION","DETECTION_METHOD","FINES (Sum)"
2018,"ACT","Camera",66449
2018,"NSW","Camera",444372
2018,"NSW","Police",237017
2018,"NT","Camera",27639
2018,"NT","Police",9813
2018,"QLD","Camera",859691
2018,"QLD","Police",161732
2018,"SA","Camera",174731
2018,"TAS","Camera",8609
2018,"VIC","Camera",1600565
2018,"WA","Camera",573664
2018,"WA","Police",115534
2019,"ACT","Camera",59330
2019,"NSW","Camera",442556
2019,"NSW","Police",216237
2019,"NT","Camera",27208
2019,"NT","Police",12292
2019,"QLD","Camera",886731
2019,"QLD","Police",155049
2019,"SA","Camera",202914
2019,"TAS","Camera",6738
2019,"VIC","Camera",1004679
2019,"WA","Camera",580734
2019,"WA","Police",102262
2020,"ACT","Camera",57612
2020,"NSW","Camera",707453
2020,"NSW","Police",207863
2020,"NT","Camera",33009
2020,"NT","Police",7912
2020,"QLD","Camera",779069
2020,"QLD","Police",131789
2020,"SA","Camera",175237
2020,"TAS","Camera",5430
2020,"TAS","Police",35321
2020,"VIC","Camera",937192
2020,"WA","Camera",595363
2020,"WA","Police",100223
2021,"ACT","Camera",113807
2021,"NSW","Camera",1273155
2021,"NSW","Police",179465
2021,"NT","Camera",31997
2021,"NT","Police",6651
2021,"QLD","Camera",865513
2021,"QLD","Police",113413
2021,"SA","Camera",202693
2021,"TAS","Camera",4244
2021,"TAS","Police",34984
2021,"VIC","Camera",1231672
2021,"WA","Camera",734701
2021,"WA","Police",74843
2022,"NSW","Camera",1053321
2022,"NSW","Police",164275
2022,"NT","Camera",27390
2022,"NT","Police",6252
2022,"QLD","Camera",777226
2022,"QLD","Police",72173
2022,"SA","Camera",157432
2022,"SA","Police",28764
2022,"TAS","Camera",14023
2022,"TAS","Police",28714
2022,"VIC","Camera",1255302
2022,"VIC","Police",122929
2022,"WA","Camera",775750
2022,"WA","Police",67791
2023,"ACT","Camera",69726
2023,"ACT","Police",2235
2023,"NSW","Camera",705834
2023,"NSW","Police",175649
2023,"NT","Camera",39863
2023,"NT","Police",3443
2023,"QLD","Camera",743514
2023,"QLD","Police",117112
2023,"SA","Camera",155362
2023,"SA","Police",48236
2023,"TAS","Camera",45406
2023,"TAS","Police",19634
2023,"VIC","Camera",1176168
2023,"VIC","Police",126460
2023,"WA","Camera",756557
2023,"WA","Police",50930
2024,"ACT","Camera",66065
2024,"ACT","Police",2781
2024,"NSW","Camera",718805
2024,"NSW","Police",186866
2024,"NT","Camera",44299
2024,"NT","Police",3756
2024,"QLD","Camera",682685
2024,"QLD","Police",112198
2024,"SA","Camera",130226
2024,"SA","Police",54354
2024,"TAS","Camera",54911
2024,"TAS","Police",20082
2024,"VIC","Camera",665807
2024,"VIC","Police",107663
2024,"WA","Camera",416446
2024,"WA","Police",56387
