"JURISDICTION","DETECTION_METHOD","YM","FINES (Sum)"
"ACT","Camera","2023-01",6852
"ACT","Police","2023-01",211
"NSW","Camera","2023-01",48074
"NSW","Police","2023-01",14831
"NT","Camera","2023-01",2538
"NT","Police","2023-01",387
"QLD","Camera","2023-01",743514
"QLD","Police","2023-01",117112
"SA","Camera","2023-01",14340
"SA","Police","2023-01",3726
"TAS","Camera","2023-01",4676
"TAS","Police","2023-01",2257
"VIC","Camera","2023-01",107991
"VIC","Police","2023-01",11230
"WA","Camera","2023-01",58747
"WA","Police","2023-01",5431
"ACT","Camera","2023-02",6120
"ACT","Police","2023-02",117
"NSW","Camera","2023-02",52680
"NSW","Police","2023-02",12244
"NT","Camera","2023-02",2603
"NT","Police","2023-02",281
"SA","Camera","2023-02",13630
"SA","Police","2023-02",3507
"TAS","Camera","2023-02",3005
"TAS","Police","2023-02",1731
"VIC","Camera","2023-02",89853
"VIC","Police","2023-02",9085
"WA","Camera","2023-02",66181
"WA","Police","2023-02",4506
"ACT","Camera","2023-03",6349
"ACT","Police","2023-03",160
"NSW","Camera","2023-03",67669
"NSW","Police","2023-03",13494
"NT","Camera","2023-03",2798
"NT","Police","2023-03",210
"SA","Camera","2023-03",15065
"SA","Police","2023-03",4372
"TAS","Camera","2023-03",2731
"TAS","Police","2023-03",1641
"VIC","Camera","2023-03",98340
"VIC","Police","2023-03",10748
"WA","Camera","2023-03",61722
"WA","Police","2023-03",4242
"ACT","Camera","2023-04",6071
"ACT","Police","2023-04",342
"NSW","Camera","2023-04",49545
"NSW","Police","2023-04",15468
"NT","Camera","2023-04",2606
"NT","Police","2023-04",446
"SA","Camera","2023-04",11191
"SA","Police","2023-04",4119
"TAS","Camera","2023-04",2979
"TAS","Police","2023-04",1542
"VIC","Camera","2023-04",91705
"VIC","Police","2023-04",9716
"WA","Camera","2023-04",62875
"WA","Police","2023-04",4267
"ACT","Camera","2023-05",5830
"ACT","Police","2023-05",161
"NSW","Camera","2023-05",60737
"NSW","Police","2023-05",13018
"NT","Camera","2023-05",3817
"NT","Police","2023-05",239
"SA","Camera","2023-05",13605
"SA","Police","2023-05",3574
"TAS","Camera","2023-05",3798
"TAS","Police","2023-05",1701
"VIC","Camera","2023-05",92211
"VIC","Police","2023-05",8958
"WA","Camera","2023-05",56237
"WA","Police","2023-05",4418
"ACT","Camera","2023-06",5327
"ACT","Police","2023-06",142
"NSW","Camera","2023-06",54545
"NSW","Police","2023-06",17534
"NT","Camera","2023-06",3565
"NT","Police","2023-06",296
"SA","Camera","2023-06",13534
"SA","Police","2023-06",3738
"TAS","Camera","2023-06",3875
"TAS","Police","2023-06",1297
"VIC","Camera","2023-06",92223
"VIC","Police","2023-06",10088
"WA","Camera","2023-06",48514
"WA","Police","2023-06",4205
"ACT","Camera","2023-07",5364
"ACT","Police","2023-07",241
"NSW","Camera","2023-07",54556
"NSW","Police","2023-07",12951
"NT","Camera","2023-07",3873
"NT","Police","2023-07",322
"SA","Camera","2023-07",12128
"SA","Police","2023-07",4096
"TAS","Camera","2023-07",3955
"TAS","Police","2023-07",1578
"VIC","Camera","2023-07",94125
"VIC","Police","2023-07",10735
"WA","Camera","2023-07",66273
"WA","Police","2023-07",3586
"ACT","Camera","2023-08",4976
"ACT","Police","2023-08",175
"NSW","Camera","2023-08",62706
"NSW","Police","2023-08",14538
"NT","Camera","2023-08",3493
"NT","Police","2023-08",261
"SA","Camera","2023-08",13445
"SA","Police","2023-08",4199
"TAS","Camera","2023-08",3859
"TAS","Police","2023-08",1502
"VIC","Camera","2023-08",96599
"VIC","Police","2023-08",11820
"WA","Camera","2023-08",69795
"WA","Police","2023-08",4710
"ACT","Camera","2023-09",5554
"ACT","Police","2023-09",215
"NSW","Camera","2023-09",60540
"NSW","Police","2023-09",15586
"NT","Camera","2023-09",3531
"NT","Police","2023-09",309
"SA","Camera","2023-09",12671
"SA","Police","2023-09",4323
"TAS","Camera","2023-09",2801
"TAS","Police","2023-09",1821
"VIC","Camera","2023-09",96050
"VIC","Police","2023-09",10666
"WA","Camera","2023-09",67688
"WA","Police","2023-09",3835
"ACT","Camera","2023-10",5709
"ACT","Police","2023-10",142
"NSW","Camera","2023-10",61031
"NSW","Police","2023-10",14723
"NT","Camera","2023-10",3057
"NT","Police","2023-10",268
"SA","Camera","2023-10",12655
"SA","Police","2023-10",4109
"TAS","Camera","2023-10",4548
"TAS","Police","2023-10",1658
"VIC","Camera","2023-10",98786
"VIC","Police","2023-10",10178
"WA","Camera","2023-10",71968
"WA","Police","2023-10",4249
"ACT","Camera","2023-11",5600
"ACT","Police","2023-11",162
"NSW","Camera","2023-11",67571
"NSW","Police","2023-11",13218
"NT","Camera","2023-11",2496
"NT","Police","2023-11",239
"SA","Camera","2023-11",13422
"SA","Police","2023-11",4453
"TAS","Camera","2023-11",5131
"TAS","Police","2023-11",1465
"VIC","Camera","2023-11",107409
"VIC","Police","2023-11",11291
"WA","Camera","2023-11",60805
"WA","Police","2023-11",4298
"ACT","Camera","2023-12",5974
"ACT","Police","2023-12",167
"NSW","Camera","2023-12",66180
"NSW","Police","2023-12",18044
"NT","Camera","2023-12",5486
"NT","Police","2023-12",185
"SA","Camera","2023-12",9676
"SA","Police","2023-12",4020
"TAS","Camera","2023-12",4048
"TAS","Police","2023-12",1441
"VIC","Camera","2023-12",110876
"VIC","Police","2023-12",11945
"WA","Camera","2023-12",65752
"WA","Police","2023-12",3183
