"YEAR","JURISDICTION","Sum(FINES)","LICENCES","STATE","RATE_PER_10K"
2010,"NSW",390746,4791490,"New South Wales",815.499980173182
2011,"NSW",389649,4893688,"New South Wales",796.22771210588
2012,"NSW",432586,4984973,"New South Wales",867.7800260904121
2013,"NSW",426904,5060762,"New South Wales",843.5567608198132
2014,"NSW",468465,5142396,"New South Wales",910.9858517313719
2015,"NSW",486571,5245755,"New South Wales",927.5518967241131
2016,"NSW",494676,5337947,"New South Wales",926.7158328848151
2017,"NSW",731953,5439711,"New South Wales",1345.5733218180158
2018,"NSW",681389,5529185,"New South Wales",1232.3497947708388
2019,"NSW",658793,5606175,"New South Wales",1175.120291464323
2020,"NSW",915316,5648327,"New South Wales",1620.5081610891152
2021,"NSW",1452620,5775889,"New South Wales",2514.9721540701353
2022,"NSW",1217596,5960216,"New South Wales",2042.8722717431715
2023,"NSW",881483,6040358,"New South Wales",1459.3224441332784
2024,"NSW",905672,6166226,"New South Wales",1468.7622542540607
2010,"VIC",1172460,3978322,"Victoria",2947.1219272849207
2011,"VIC",1151555,4060582,"Victoria",2835.9358338287466
2012,"VIC",1185037,4135725,"Victoria",2865.367015456782
2013,"VIC",1015986,4228230,"Victoria",2402.8636095955044
2014,"VIC",1307924,4310687,"Victoria",3034.142817606567
2015,"VIC",1306201,4384609,"Victoria",2979.0592502090835
2016,"VIC",1266642,4474502,"Victoria",2830.799941535393
2017,"VIC",1220180,4565595,"Victoria",2672.5541796852326
2018,"VIC",1600565,4665764,"Victoria",3430.445689066142
2019,"VIC",1004679,4748539,"Victoria",2115.7644488125716
2020,"VIC",937192,4807706,"Victoria",1949.353808240354
2021,"VIC",1231672,4895143,"Victoria",2516.110356735237
2022,"VIC",1378231,4968836,"Victoria",2773.7502304362633
2023,"VIC",1302628,5097911,"Victoria",2555.219186839472
2024,"VIC",773470,5260408,"Victoria",1470.3612343377167
2010,"QLD",440622,3132341,"Queensland",1406.6859259576145
2011,"QLD",588714,3240939,"Queensland",1816.4920722049999
2012,"QLD",653679,3301004,"Queensland",1980.2429806204416
2013,"QLD",762905,3374824,"Queensland",2260.5771441710735
2014,"QLD",1004090,3384271,"Queensland",2966.931430727622
2015,"QLD",1076622,3432171,"Queensland",3136.8541952018127
2016,"QLD",659305,3505706,"Queensland",1880.662554133176
2017,"QLD",733717,3580836,"Queensland",2049.010342836142
2018,"QLD",1021423,3657643,"Queensland",2792.5716096404158
2019,"QLD",1041780,3719766,"Queensland",2800.6600415187404
2020,"QLD",910858,3806397,"Queensland",2392.966366881857
2021,"QLD",978926,3888986,"Queensland",2517.1754282478773
2022,"QLD",849399,3973138,"Queensland",2137.8542602849434
2023,"QLD",860626,4051724,"Queensland",2124.0982850756864
2024,"QLD",794883,4154952,"Queensland",1913.0979130444828
2010,"SA",91335,1130920,"South Australia",807.616807554911
2011,"SA",61859,1138713,"South Australia",543.2360919740092
2012,"SA",54773,1151821,"South Australia",475.5339588356177
2013,"SA",74391,1183292,"South Australia",628.6782974954617
2014,"SA",100562,1196554,"South Australia",840.430101775599
2015,"SA",85282,1206194,"South Australia",707.0338602248064
2016,"SA",182856,1219494,"South Australia",1499.4415716682495
2017,"SA",162804,1232106,"South Australia",1321.3473516077352
2018,"SA",174731,1246015,"South Australia",1402.3185916702446
2019,"SA",202914,1258216,"South Australia",1612.7119667847173
2020,"SA",175237,1271958,"South Australia",1377.6948609938377
2021,"SA",202693,1294479,"South Australia",1565.8268693428013
2022,"SA",186196,1329139,"South Australia",1400.8768082194565
2023,"SA",203602,1340060,"South Australia",1519.3498798561259
2024,"SA",184581,1362548,"South Australia",1354.6752114420924
2010,"WA",300344,1566465,"Western Australia",1917.336167740741
2011,"WA",558552,1605793,"Western Australia",3478.3561766678517
2012,"WA",588746,1623226,"Western Australia",3627.0118886710784
2013,"WA",543491,1854446,"Western Australia",2930.745893921958
2014,"WA",711518,1896560,"Western Australia",3751.6239929134854
2015,"WA",752276,1928430,"Western Australia",3900.976441976115
2016,"WA",567954,1952879,"Western Australia",2908.2907850409574
2017,"WA",754183,1965031,"Western Australia",3838.0208760065366
2018,"WA",689198,1977775,"Western Australia",3484.713883025117
2019,"WA",682996,1992380,"Western Australia",3428.0408355835734
2020,"WA",695586,2013336,"Western Australia",3454.892774976457
2021,"WA",809544,2036282,"Western Australia",3975.5986646250376
2022,"WA",843541,2078263,"Western Australia",4058.8751279313537
2023,"WA",807487,2132257,"Western Australia",3787.005975358505
2024,"WA",472833,2194816,"Western Australia",2154.317263952878
2010,"TAS",37376,363291,"Tasmania",1028.8171190588262
2011,"TAS",24427,367296,"Tasmania",665.0494424115699
2012,"TAS",7410,365359,"Tasmania",202.81421834414917
2013,"TAS",7517,365295,"Tasmania",205.7788910332745
2014,"TAS",9250,366231,"Tasmania",252.57282971676347
2015,"TAS",15220,370296,"Tasmania",411.0225333246916
2016,"TAS",15977,379305,"Tasmania",421.2177535228905
2017,"TAS",13095,380215,"Tasmania",344.4103993792986
2018,"TAS",8609,387773,"Tasmania",222.01133137170456
2019,"TAS",6738,398452,"Tasmania",169.10443416019996
2020,"TAS",40751,406437,"Tasmania",1002.6400155497654
2021,"TAS",39228,416263,"Tasmania",942.3849825711148
2022,"TAS",42737,423676,"Tasmania",1008.7189267270273
2023,"TAS",65040,426528,"Tasmania",1524.8705829394555
2024,"TAS",74993,429865,"Tasmania",1744.570969955684
2010,"NT",26775,132561,"Northern Territory",2019.824835358816
2011,"NT",24633,133035,"Northern Territory",1851.617995264404
2012,"NT",27730,138077,"Northern Territory",2008.2997168246702
2013,"NT",24536,146404,"Northern Territory",1675.9104942487909
2014,"NT",22871,150653,"Northern Territory",1518.1244316409231
2015,"NT",24928,152268,"Northern Territory",1637.1135103895763
2016,"NT",22239,154405,"Northern Territory",1440.3030989929084
2017,"NT",22556,156344,"Northern Territory",1442.7160620170907
2019,"NT",39500,156344,"Northern Territory",2526.4800695901345
2020,"NT",40921,157831,"Northern Territory",2592.70992390595
2021,"NT",38648,159208,"Northern Territory",2427.5162052158184
2022,"NT",33642,159063,"Northern Territory",2115.0110333641387
2023,"NT",43306,161361,"Northern Territory",2683.795960610061
2024,"NT",48055,163416,"Northern Territory",2940.6545258726196
2010,"ACT",58705,287134,"Australian Capital Territory",2044.515800984906
2011,"ACT",56719,294174,"Australian Capital Territory",1928.076580527171
2012,"ACT",54201,301841,"Australian Capital Territory",1795.6805072869493
